Day(200 confirmed cases),Germany,Italy,United States,South Korea,Sweden,Brazil,Colombia
134,200260,241819,3576221,13030,77281,2419091,317651
135,200843,241956,3647715,13091,78048,2442375,327850
136,201372,242149,3711464,13091,78166,2483191,334979
137,201574,242363,3773260,13181,78504,2552265,
138,201823,242639,3830010,13244,78763,2610102,
139,202345,242827,3902058,13293,78997,2662485,
140,202799,243061,3970906,13338,78997,2707877,
141,203368,243230,4034102,13373,78997,2733677,
142,204183,243344,4112529,13417,79395,2750318,
143,204964,243506,4178027,13479,79494,2801921,
144,205269,243736,4234020,13512,79782,2859073,
145,205609,243967,4290263,13551,80100,,
146,206242,244216,4351997,13612,80422,,
147,206926,244434,4426982,13672,80422,,
148,207828,244624,4495014,13711,80422,,
149,208698,244752,4562037,13745,81012,,
150,209653,245032,4620444,13771,81181,,
151,209893,245338,4667955,13816,81540,,
152,210402,245590,4713562,13879,,,
153,211281,245864,4771087,13938,,,
154,212022,246118,4823891,13979,,,
155,213067,246286,,14092,,,
156,,246488,,14150,,,
157,,246776,,14175,,,
158,,247158,,14203,,,
159,,247537,,14251,,,
160,,247832,,14269,,,
161,,248070,,14305,,,
162,,248229,,14336,,,
163,,248419,,14336,,,
164,,248803,,14389,,,
165,,,,14423,,,
166,,,,14456,,,
167,,,,14499,,,
